size	self.epochs	time_taken	cost
250	0	0:00:01.744761	0
250	4	0:00:03.169285	3.751665206816888
325	8	0:00:03.431676	3.4428814808935035
400	12	0:00:03.456055	3.2040625948071915
475	16	0:00:03.480964	3.0491633016462045
550	20	0:00:03.510172	2.813379814244231
625	24	0:00:03.540369	2.837026343117326
700	28	0:00:03.574189	2.833046595744264
775	32	0:00:03.602573	2.5791346567391433
850	36	0:00:03.632558	2.489155417684058
925	40	0:00:03.663986	2.342260714275141
1000	44	0:00:03.695906	2.1650818934681206
1075	48	0:00:03.730471	2.149903611308313
1150	52	0:00:03.766515	2.0137531329626306
1225	56	0:00:03.803467	1.9163252666707637
1300	60	0:00:03.834047	1.8697741896661457
1375	64	0:00:03.868160	1.8391564470556439
1450	68	0:00:03.908184	1.7511615416559816
1525	72	0:00:03.969021	1.652674149983028
1600	76	0:00:04.006922	1.5822393667913168
1675	80	0:00:04.042458	1.5445381694150906
1750	84	0:00:04.076107	1.4408362090832605
1825	88	0:00:04.110972	1.4147115058229482
1900	92	0:00:04.146059	1.3469818551404296
1975	96	0:00:04.180597	1.2937736886254623
2050	100	0:00:04.216578	1.2585531559864487
2125	104	0:00:04.502540	1.203719024970121
2200	108	0:00:04.545344	1.1565711336994937
2275	112	0:00:04.584974	1.089768801357866
2350	116	0:00:04.628186	1.022725006765115
2425	120	0:00:04.668811	0.9681147471309229
2500	124	0:00:04.723240	0.9316887223234044
2575	128	0:00:04.765597	0.8882816886646708
2650	132	0:00:04.811084	0.8592763388576905
2725	136	0:00:04.856002	0.7842694393092045
2800	140	0:00:04.916203	0.7424029133215662
2875	144	0:00:04.965107	0.681329669450986
2950	148	0:00:05.010429	0.6236736404097927
3025	152	0:00:05.056208	0.592641192359943
3100	156	0:00:05.104835	0.5187540146859891
3175	160	0:00:05.152644	0.47987755249255093
3250	164	0:00:05.202306	0.4456993158937642
3325	168	0:00:05.282328	0.3984154848413546
3400	172	0:00:05.347849	0.37121419908568964
3475	176	0:00:05.410785	0.3274384740544236
3550	180	0:00:05.463921	0.29469553751523386
3625	184	0:00:05.520503	0.26911210422750764
3700	188	0:00:05.578707	0.23288203204791014
3775	192	0:00:05.637781	0.20905575542613114
3850	196	0:00:05.692978	0.170204454843887
3925	200	0:00:05.756532	0.14491878903131977
4000	204	0:00:06.126055	0.12530774842776435
4075	208	0:00:06.190243	0.125843306852999
4150	212	0:00:06.250771	0.14228214713171722
4225	216	0:00:06.322292	0.11954007051770578
4300	220	0:00:06.381941	0.10339886672888604
4375	224	0:00:06.442442	0.1034249898541893
4450	228	0:00:06.507586	0.0978021204814682
4525	232	0:00:06.572330	0.09092659044861316
4600	236	0:00:06.637291	0.07760212034497112
4675	240	0:00:06.700503	0.09989292780500755
4750	244	0:00:06.769510	0.07340458803110853
4825	248	0:00:06.857739	0.050185203266908895
4900	252	0:00:06.927613	0.04496010675489484
4975	256	0:00:06.998703	0.025629904439320977
5050	260	0:00:07.068668	0.032110319355737625
5125	264	0:00:07.136232	0.027703843264341697
5200	268	0:00:07.208461	0.007303318323933347
5275	272	0:00:07.283322	0.03533535545162394
5350	276	0:00:07.356328	0.015374869751208909
5425	280	0:00:07.432008	0.023100412125894275
5500	284	0:00:07.504947	0.010823723654092347
5575	288	0:00:07.580107	0.00558835125710817
5650	292	0:00:07.681034	0.0010769381148679196
5725	296	0:00:07.759873	-0.006066449286322161
5800	300	0:00:07.837951	0.00967690134986635
5875	304	0:00:08.247633	0.01287726533626031
5950	308	0:00:08.334565	0.01224246483103695
6025	312	0:00:08.426494	0.004045834326761446
6100	316	0:00:08.532117	0.018867701032414134
6175	320	0:00:08.638622	0.014945660271053401
6250	324	0:00:08.728670	-0.0018379659674199857
6325	328	0:00:08.822106	-0.004491171548489208
6400	332	0:00:08.914549	0.007135940416884084
6475	336	0:00:09.017925	-0.00769744663133016
6550	340	0:00:09.107192	-9.711462240077536e-05
6625	344	0:00:09.197992	0.0017904100171624476
6700	348	0:00:09.282056	-0.012992858062154373
6775	352	0:00:09.364175	-0.007980999324679218
6850	356	0:00:09.456916	-0.016982097386515998
6925	360	0:00:09.555501	-0.004102613735522892
7000	364	0:00:09.662272	-0.00023497611967488154
7075	368	0:00:09.754651	-0.00314138937430023
7150	372	0:00:09.854299	-0.00024194808155040764
7225	376	0:00:09.942389	0.006889108443073144
7300	380	0:00:10.039952	-0.002186078764628686
7375	384	0:00:10.181464	-0.004192677590063411
7450	388	0:00:10.290435	-0.0029268371352429478
7525	392	0:00:10.395702	-0.007680916476432848
7600	396	0:00:10.499628	-0.009123759068964902
7675	400	0:00:10.601007	-0.016739395446683264
7750	404	0:00:11.087594	-0.01864430222810233
7825	408	0:00:11.187145	-0.016418856202827178
7900	412	0:00:11.286953	-0.016115649473041616
7975	416	0:00:11.392513	-0.009663501652900836
8050	420	0:00:11.508886	-0.0034305837052292995
8125	424	0:00:11.611282	0.0009812462584179523
8200	428	0:00:11.711328	-0.009095130145936704
8275	432	0:00:11.818551	-0.003749712562317494
8350	436	0:00:11.925192	-0.007171510968541484
8425	440	0:00:12.036379	-0.0088073763866668
8500	444	0:00:12.146291	-0.013227318361316225
8575	448	0:00:12.252517	-0.012453243255876953
8650	452	0:00:12.361817	0.003688785787644979
8725	456	0:00:12.468752	-0.020538013786295745
8800	460	0:00:12.594281	0.005862024285534237
8875	464	0:00:12.768415	0.0013614406264030818
8950	468	0:00:12.881379	-0.005203452796273848
9025	472	0:00:12.988885	0.0036835252589283124
9100	476	0:00:13.098116	-0.006298545905867585
9175	480	0:00:13.207516	-0.0009041611283776824
9250	484	0:00:13.318772	-0.0076207074407932006
9325	488	0:00:13.428741	0.009253128842820563
9400	492	0:00:13.550429	0.012030275722471622
9475	496	0:00:13.666722	0.014650355334793762
9550	500	0:00:13.782840	0.009499820802333837
9625	504	0:00:14.294946	0.019948021020634827
9700	508	0:00:14.428405	0.009450210719461609
9775	512	0:00:14.542234	0.011179578550104747
9850	516	0:00:14.667626	-0.005264610357715376
9925	520	0:00:14.785622	-0.011308512536966093
10000	524	0:00:14.906752	-0.0005214485053975344
10075	528	0:00:15.025456	0.004870320763877629
10150	532	0:00:15.148699	0.003992827759371303
10225	536	0:00:15.271157	0.0076830359300688695
10300	540	0:00:15.391711	-0.0006950293761045367
10375	544	0:00:15.515853	0.0020506268879983735
10450	548	0:00:15.641347	0.001517571752091218
10525	552	0:00:15.764832	0.000962640937055663
10600	556	0:00:15.890217	0.01440002177087421
10675	560	0:00:16.033106	0.015548228380311446
10750	564	0:00:16.164607	0.007012631634214399
10825	568	0:00:16.301840	0.00901096882992696
10900	572	0:00:16.426940	0.015584183483636509
10975	576	0:00:16.559661	0.010073459728774286
11050	580	0:00:16.691062	0.01205912495085494
11125	584	0:00:16.856448	0.011612093939400821
11200	588	0:00:16.998641	0.014308675178672197
11275	592	0:00:17.130792	0.021613452487962762
11350	596	0:00:17.261459	0.01374574075529058
11425	600	0:00:17.396332	0.010892222447105675
11500	604	0:00:17.943040	0.008573061766414146
11575	608	0:00:18.089689	0.00942522796112925
11650	612	0:00:18.223304	0.006143190671258658
11725	616	0:00:18.380103	0.022699239834841078
11800	620	0:00:18.521795	0.011466125796617337
11875	624	0:00:18.657745	0.01723121432861363
11950	628	0:00:18.798559	0.02086207995069243
12025	632	0:00:18.944921	0.02072092328305653
12100	636	0:00:19.090953	0.01609832869520242
12175	640	0:00:19.233663	0.014350545250668898
12250	644	0:00:19.374641	0.020464754244025093
12325	648	0:00:19.526050	0.00415497412470646
12400	652	0:00:19.672351	0.01581843894146725
12475	656	0:00:19.814866	0.00767319447718347
12550	660	0:00:19.961363	0.010959780841242366
12625	664	0:00:20.109497	0.019221411034661715
12700	668	0:00:20.279364	0.009981400136171499
12775	672	0:00:20.440128	0.029965555375382334
12850	676	0:00:20.590172	0.02354615473188622
12925	680	0:00:20.738197	0.02816996156020942
13000	684	0:00:20.886184	0.013915026712789477
13075	688	0:00:21.058762	0.015675335822573272
13150	692	0:00:21.212779	0.006544556328800312
13225	696	0:00:21.375104	0.0007231942877853946
13300	700	0:00:21.531369	0.017214119712795274
13375	704	0:00:22.131953	0.015282417401094867
13450	708	0:00:22.287691	0.02124820937437416
13525	712	0:00:22.474159	0.022501319887531235
13600	716	0:00:22.644079	0.021075503202001727
13675	720	0:00:22.810718	0.014394818596419622
13750	724	0:00:22.980875	0.014799793665948078
13825	728	0:00:23.145286	0.013545480085459104
13900	732	0:00:23.305722	0.01060623519840698
13975	736	0:00:23.471677	0.01094567929956778
14050	740	0:00:23.640555	0.010630773984102082
14125	744	0:00:23.814240	0.015362863034967714
14200	748	0:00:23.995581	0.008229789738308806
14275	752	0:00:24.159095	0.010823604064587225
14350	756	0:00:24.327985	0.01103138249270129
14425	760	0:00:24.489733	0.01807146555202355
14500	764	0:00:24.656852	0.010176179044024458
14575	768	0:00:24.837699	0.005802177218146084
14650	772	0:00:25.012892	0.023240535100400767
14725	776	0:00:25.192500	0.017713124803636113
14800	780	0:00:25.371576	0.017684693101599445
14875	784	0:00:25.542945	0.014430864145630239
14950	788	0:00:25.719093	0.004303670646150908
15025	792	0:00:25.898788	0.018347992165345516
15100	796	0:00:26.092112	0.003405759402636188
15175	800	0:00:26.275879	0.0035582265060717755
15250	804	0:00:26.934759	-0.004298311194016819
15325	808	0:00:27.115040	-0.0004938218595778363
15400	812	0:00:27.303477	-0.010829872538767467
15475	816	0:00:27.489292	-0.009508443777282532
15550	820	0:00:27.683133	0.0007225197669951493
15625	824	0:00:27.862718	-0.001457953337450878
15700	828	0:00:28.050940	-0.008527943554899083
15775	832	0:00:28.230530	-0.01277921856931097
15850	836	0:00:28.421842	-0.013253342881838489
15925	840	0:00:28.612372	-0.010144508256112598
16000	844	0:00:28.801608	-0.009149608093767745
16075	848	0:00:28.991745	-0.008452091028550804
16150	852	0:00:29.175595	-0.010530085141700991
16225	856	0:00:29.381543	-0.013841377491335613
16300	860	0:00:29.569055	-0.018701771957200856
16375	864	0:00:29.803348	-0.027681240969078112
16450	868	0:00:30.040114	-0.02399416449878306
16525	872	0:00:30.261108	-0.01812474676702697
16600	876	0:00:30.470377	-0.02627791553713381
16675	880	0:00:30.672619	-0.022039322256572486
16750	884	0:00:30.883711	-0.02649501739394423
16825	888	0:00:31.082375	-0.0263026824572947
16900	892	0:00:31.289252	-0.02287529479983642
16975	896	0:00:31.501153	-0.026576161044000242
17050	900	0:00:31.701217	-0.028712443219496366
17125	904	0:00:32.394293	-0.024273174177797174
17200	908	0:00:32.624536	-0.025791217792792087
17275	912	0:00:32.837086	-0.026892233256732002
17350	916	0:00:33.038746	-0.03362095405689861
17425	920	0:00:33.255301	-0.028892628251408023
17500	924	0:00:33.466705	-0.03132528360226261
17575	928	0:00:33.678778	-0.03164354093974884
17650	932	0:00:33.912724	-0.030358549072807835
17725	936	0:00:34.119828	-0.03711249591054712
17800	940	0:00:34.329707	-0.03185256620305811
17875	944	0:00:34.542727	-0.027289644486335668
17950	948	0:00:34.763294	-0.028107638951138304
18025	952	0:00:34.989766	-0.02429154162252685
18100	956	0:00:35.213799	-0.028166851855150436
18175	960	0:00:35.424748	-0.027536611142896433
18250	964	0:00:35.658309	-0.020285072898458708
18325	968	0:00:35.886346	-0.02307525190337416
18400	972	0:00:36.107010	-0.029615631516307406
18475	976	0:00:36.330748	-0.028648730023151027
18550	980	0:00:36.554950	-0.03140156960634574
18625	984	0:00:36.779008	-0.025194869572698737
18700	988	0:00:37.034314	-0.030684708790461788
18775	992	0:00:37.248833	-0.03103070839308754
18850	996	0:00:37.490941	-0.02443207917457041
18925	1000	0:00:37.717039	-0.024519608820832088
19000	1004	0:00:38.493657	-0.02728739409505926
19075	1008	0:00:38.731997	-0.030130072936961686
19150	1012	0:00:38.973580	-0.022065374436566847
19225	1016	0:00:39.202389	-0.018050282542791923
19300	1020	0:00:39.435876	-0.025235017345763618
19375	1024	0:00:39.666074	-0.027675916545844472
19450	1028	0:00:39.906255	-0.026845869320960686
19525	1032	0:00:40.136863	-0.02677745499610413
19600	1036	0:00:40.372305	-0.022739995949730696
19675	1040	0:00:40.606172	-0.02283771929538098
19750	1044	0:00:40.839329	-0.01762244304948793
19825	1048	0:00:41.075640	-0.025283877590862824
19900	1052	0:00:41.316374	-0.0195466179385813
19975	1056	0:00:41.559703	-0.015685053699151793
20050	1060	0:00:41.810877	-0.020867507403687327
20125	1064	0:00:42.065264	-0.01968981517511738
20200	1068	0:00:42.324095	-0.0262434418373108
20275	1072	0:00:42.576936	-0.02847166257595827
20350	1076	0:00:42.892501	-0.028010553062612888
20425	1080	0:00:43.323646	-0.029482425559507697
20500	1084	0:00:43.671523	-0.03210487346317064
20575	1088	0:00:43.935487	-0.030399451171316483
20650	1092	0:00:44.187031	-0.02745190367771149
20725	1096	0:00:44.536239	-0.02546690203135429
20800	1100	0:00:44.819904	-0.019635270735701853
20875	1104	0:00:45.833661	-0.020920715386512717
20950	1108	0:00:46.098283	-0.01880632499942816
21025	1112	0:00:46.398693	-0.019829291054525244
21100	1116	0:00:46.695604	-0.022239710780160238
21175	1120	0:00:46.982558	-0.02059912589063254
21250	1124	0:00:47.239314	-0.019504144124881915
21325	1128	0:00:47.525417	-0.023554628953233563
21400	1132	0:00:47.852668	-0.023764249536417294
