size	self.epochs	time_taken	cost
350	0	0:00:01.781668	0
350	4	0:00:03.167585	3.539831222247188
455	8	0:00:03.446232	3.2519629760956708
560	12	0:00:03.476161	3.0673407111421724
665	16	0:00:03.507144	2.7998279829659776
770	20	0:00:03.542029	2.736142794151509
875	24	0:00:03.575917	2.5771862486702926
980	28	0:00:03.621481	2.4316310779381833
1085	32	0:00:03.657783	2.3209694057904366
1190	36	0:00:03.692100	2.2951658826938783
1295	40	0:00:03.728432	2.283050970941681
1400	44	0:00:03.764970	2.08006902199782
1505	48	0:00:03.800378	2.0248596367336593
1610	52	0:00:03.846520	1.9008217178609828
1715	56	0:00:03.890308	1.867097770259712
1820	60	0:00:03.929500	1.7947026443689915
1925	64	0:00:03.968749	1.7287782882304663
2030	68	0:00:04.015438	1.6457900188892545
2135	72	0:00:04.084116	1.5779018482527465
2240	76	0:00:04.132627	1.5618031685521734
2345	80	0:00:04.179681	1.4721437393155417
2450	84	0:00:04.227066	1.395257651815831
2555	88	0:00:04.278025	1.4077851249066138
2660	92	0:00:04.329358	1.3448887185234626
2765	96	0:00:04.377267	1.2657747396842443
2870	100	0:00:04.428620	1.204761373356323
2975	104	0:00:04.753690	1.1145645289965171
3080	108	0:00:04.805502	1.0849000031298637
3185	112	0:00:04.867988	1.0393075305328363
3290	116	0:00:04.920239	0.9853187273499132
3395	120	0:00:04.978174	0.9342470285741521
3500	124	0:00:05.032506	0.8575115464787412
3605	128	0:00:05.090002	0.8340149398596673
3710	132	0:00:05.150404	0.7663825603331474
3815	136	0:00:05.212509	0.7105263917372131
3920	140	0:00:05.271440	0.659064478646372
4025	144	0:00:05.333815	0.6101373545017986
4130	148	0:00:05.396375	0.595497190024517
4235	152	0:00:05.457392	0.5483331152768857
4340	156	0:00:05.521849	0.4644988775072565
4445	160	0:00:05.586307	0.4339982975525784
4550	164	0:00:05.656244	0.36279797933841157
4655	168	0:00:05.762701	0.319409306957691
4760	172	0:00:05.847293	0.2867533427980956
4865	176	0:00:05.926793	0.25328890082270783
4970	180	0:00:06.002575	0.21522272348222166
5075	184	0:00:06.077572	0.18097441806824627
5180	188	0:00:06.151706	0.14217375909386765
5285	192	0:00:06.225449	0.12364391402011833
5390	196	0:00:06.302560	0.10899325933998259
5495	200	0:00:06.383103	0.08104367068197695
5600	204	0:00:06.763566	0.10020130936293901
5705	208	0:00:06.846814	0.08502784438759713
5810	212	0:00:06.928734	0.10404032234984259
5915	216	0:00:07.008072	0.0984760768869118
6020	220	0:00:07.089294	0.09124578905543701
6125	224	0:00:07.182386	0.06519944240614474
6230	228	0:00:07.265517	0.050101539510319704
6335	232	0:00:07.350976	0.04087365544845292
6440	236	0:00:07.435929	0.03462361132898305
6545	240	0:00:07.523124	0.02649546819212084
6650	244	0:00:07.614364	0.022452322652158803
6755	248	0:00:07.702468	0.007158521816901429
6860	252	0:00:07.791325	-0.010260717897325819
6965	256	0:00:07.886591	-0.006835683332368646
7070	260	0:00:07.977498	-0.001260147466665085
7175	264	0:00:08.072226	-0.0036213185105067143
7280	268	0:00:08.164800	0.002402356641016975
7385	272	0:00:08.257910	-0.010370371326914856
7490	276	0:00:08.360843	-0.006991513698092642
7595	280	0:00:08.458655	-0.028386281257148274
7700	284	0:00:08.556027	-0.018244383082560336
7805	288	0:00:08.653418	-0.021834436803815242
7910	292	0:00:08.760020	-0.030390250090796683
8015	296	0:00:08.863634	-0.026492138571557952
8120	300	0:00:08.977306	-0.02819041818760821
8225	304	0:00:09.428737	-0.03499893481853477
8330	308	0:00:09.534692	-0.03224646543710565
8435	312	0:00:09.637593	-0.036466986685309524
8540	316	0:00:09.754946	-0.03351429571140087
8645	320	0:00:09.860220	-0.03437084141486616
8750	324	0:00:09.965248	-0.03673284892672994
8855	328	0:00:10.073243	-0.042881405370088804
8960	332	0:00:10.186190	-0.022232167879761875
9065	336	0:00:10.301083	-0.02264981486370127
9170	340	0:00:10.418690	-0.02465285672115414
9275	344	0:00:10.542580	-0.03661352720340878
9380	348	0:00:10.661330	-0.044232566047528385
9485	352	0:00:10.772825	-0.03480062503721457
9590	356	0:00:10.900713	-0.037422221861837426
9695	360	0:00:11.019950	-0.044573472848820496
9800	364	0:00:11.140209	-0.030681715805032792
9905	368	0:00:11.264780	-0.02854196154324317
10010	372	0:00:11.383710	-0.028116043246649895
10115	376	0:00:11.508337	-0.03767191885041584
10220	380	0:00:11.633910	-0.04488857176891085
10325	384	0:00:11.814064	-0.037485257385005674
10430	388	0:00:11.966005	-0.04012851829145902
10535	392	0:00:12.106235	-0.044597782528298664
10640	396	0:00:12.246578	-0.03132709343782194
10745	400	0:00:12.390298	-0.03470544287860517
10850	404	0:00:12.919524	-0.04060240689046993
10955	408	0:00:13.059390	-0.04676041031754613
11060	412	0:00:13.206372	-0.04044658613348882
11165	416	0:00:13.343225	-0.04230901409600202
11270	420	0:00:13.486362	-0.040515021131248004
11375	424	0:00:13.634564	-0.0354838393462171
11480	428	0:00:13.781750	-0.03215655574180034
11585	432	0:00:13.928248	-0.02721546826083539
11690	436	0:00:14.071716	-0.028622026128854536
11795	440	0:00:14.215706	-0.04090310948242472
11900	444	0:00:14.376171	-0.04665150377106447
12005	448	0:00:14.556718	-0.044106543052707954
12110	452	0:00:14.749242	-0.04766974070729311
12215	456	0:00:14.997697	-0.05213744621010436
12320	460	0:00:15.228609	-0.04832279776009843
12425	464	0:00:15.476903	-0.03881735829304353
12530	468	0:00:15.638229	-0.039214596776141634
12635	472	0:00:15.791240	-0.04298440073216957
12740	476	0:00:15.938154	-0.02970079076115462
12845	480	0:00:16.092937	-0.028091054099887637
12950	484	0:00:16.247848	-0.03384216947259679
13055	488	0:00:16.400240	-0.03609560776190255
13160	492	0:00:16.554709	-0.030710736341424284
13265	496	0:00:16.730725	-0.028524529123171598
13370	500	0:00:16.939553	-0.025140920818340566
13475	504	0:00:17.623709	-0.03166029045505872
13580	508	0:00:17.808376	-0.04057181984850404
13685	512	0:00:17.989469	-0.04001788112482486
13790	516	0:00:18.157204	-0.032316158078941275
13895	520	0:00:18.314109	-0.03958763426227164
14000	524	0:00:18.474722	-0.03958012042017892
14105	528	0:00:18.644715	-0.03971562789223113
14210	532	0:00:18.813176	-0.03278229633495877
14315	536	0:00:18.977893	-0.035508795716502284
