size,epochs,time_taken,cost
7500,0,2.534826,0
7500,40,5.266347,1.4792372419704298
7605,44,5.419757,1.3401901955921944
7710,48,5.536509,1.2990073549225738
7815,52,5.646551,1.2932720457590299
7920,56,5.75838,1.2513792876798249
8025,60,5.867007,1.2303598302912104
8130,64,5.972258,1.1981339440929821
8235,68,6.08389,1.1769655200106846
8340,72,6.194725,1.1535668876901433
8445,76,6.305331,1.1243507647810116
8550,80,6.415397,1.1055920065778446
8655,84,6.523659,1.0828001765116109
8760,88,6.633017,1.030588670422539
8865,92,6.745938,1.01120788360937
8970,96,6.859665,0.9861754269702477
9075,100,6.97654,0.9707730250764773
9180,104,7.160506,0.9420232668139711
9285,108,7.277821,0.8906355891425793
9390,112,7.395524,0.8792049941475937
9495,116,7.515153,0.8718224352480844
9600,120,7.632739,0.8285323830896312
9705,124,7.750501,0.7942463165967416
9810,128,7.871866,0.7617632513825615
9915,132,7.991964,0.7433683178988917
10020,136,8.114283,0.7375882464440726
10125,140,8.241578,0.6995255577025291
10230,144,8.366625,0.6781267183939454
10335,148,8.496869,0.6556978300886216
10440,152,8.625133,0.6309388990087335
10545,156,8.751839,0.6124429907517147
10650,160,8.895606,0.6021365209721193
10755,164,9.031736,0.5804351453673318
10860,168,9.173524,0.5627709961087317
10965,172,9.311606,0.5350346467465883
11070,176,9.449419,0.5168080719559466
11175,180,9.588017,0.5088861746741928
11280,184,9.725434,0.48722477020066424
11385,188,9.866223,0.47848944158486567
11490,192,10.005042,0.46939195355318714
11595,196,10.141036,0.45606827897407093
11700,200,10.281068,0.4534759934756197
11805,204,10.468145,0.4497945653410225
11910,208,10.607212,0.4554087930380362
12015,212,10.750378,0.45110656852494563
12120,216,10.891726,0.44989076333277006
12225,220,11.033682,0.4536808582774315
12330,224,11.180114,0.44660716298889147
12435,228,11.325367,0.45041462328975296
12540,232,11.472602,0.4446156862360094
12645,236,11.623585,0.44878463477134506
12750,240,11.772886,0.45536726355410606
12855,244,11.921646,0.44984302262518394
12960,248,12.074343,0.44555244813199385
13065,252,12.224977,0.4494075327006895
13170,256,12.377455,0.44725669223879133
13275,260,12.534135,0.4447592220484817
13380,264,12.693928,0.44602240017974054
13485,268,12.850421,0.44596913515290487
13590,272,13.009425,0.44212088277666506
13695,276,13.165582,0.4492449428312622
13800,280,13.323616,0.4518808282866497
13905,284,13.486138,0.4469767099179245
14010,288,13.64655,0.44469046099477993
14115,292,13.80887,0.444115371932429
14220,296,13.975286,0.4437697058862023
14325,300,14.140124,0.4442256328484255
14430,304,14.365393,0.44259702380605714
14535,308,14.535328,0.44079815320027443
14640,312,14.706275,0.44685750433574567
14745,316,14.876247,0.44142895381763114
14850,320,15.051534,0.44177773414773414
14955,324,15.228003,0.44149530512303137
15060,328,15.400586,0.4455821662610756
15165,332,15.580122,0.43519367225956224
15270,336,15.764688,0.44076162281625497
15375,340,15.946968,0.4450284780166404
15480,344,16.133102,0.4389117351635292
15585,348,16.313548,0.4426718805002147
15690,352,16.496428,0.44344958814653895
15795,356,16.688995,0.443818406983311
15900,360,16.881171,0.44138844397752935
16005,364,17.077175,0.4438896443190726
16110,368,17.274259,0.44184190441080995
16215,372,17.460797,0.4425831366115257
16320,376,17.654034,0.44166658257842056
16425,380,17.848448,0.43709977782952836
16530,384,18.034555,0.4436670070362047
16635,388,18.225374,0.4408717182516393
16740,392,18.421475,0.44493979095964786
16845,396,18.676344,0.4376647732751485
16950,400,18.907067,0.44077981957092144
17055,404,19.128998,0.44191280004395683
17160,408,19.348276,0.4405113493240016
17265,412,19.565256,0.43836190826730864
17370,416,19.788069,0.44104856073601706
17475,420,20.002072,0.43993539034136364
17580,424,20.215269,0.4405095363953237
17685,428,20.433661,0.43579665473046303
17790,432,20.651324,0.4400139176758463
17895,436,20.868498,0.4405441056387698
18000,440,21.086405,0.4384959330817094
18105,444,21.30098,0.4357386018019152
18210,448,21.521499,0.4388181938878678
18315,452,21.740938,0.4367445967045888
18420,456,21.95702,0.43889725876662067
18525,460,22.173274,0.4320713717201885
18630,464,22.395323,0.4367032111330642
18735,468,22.615095,0.436713770561921
18840,472,22.84133,0.4326181773293519
18945,476,23.069904,0.4380261952241683
19050,480,23.288529,0.4354860816359368
19155,484,23.509032,0.4402141449199208
19260,488,23.736977,0.4334780725065624
19365,492,23.959791,0.434698464694288
19470,496,24.183945,0.4304081261896939
19575,500,24.410413,0.43304247834368453
19680,504,24.712955,0.4299797706403288
19785,508,24.940595,0.434076300616032
19890,512,25.175968,0.43266895410872125
19995,516,25.405206,0.43547609921613434
20100,520,25.644883,0.43327569376069675
20205,524,25.885074,0.4304473823318772
