size,epochs,time_taken,cost
7500,0,2.866753,0
7500,40,5.609029,1.4792372419704298
7650,44,5.791937,1.3652406338931775
7800,48,5.937563,1.3190679878071663
7950,52,6.079093,1.2928872504967897
8100,56,6.207013,1.2483008642127305
8250,60,6.340324,1.2333380287796993
8400,64,6.47221,1.2172884847977805
8550,68,6.60791,1.1710271805868224
8700,72,6.739376,1.1711398462693456
8850,76,6.881309,1.1353810848074861
9000,80,7.038158,1.104093438106934
9150,84,7.214441,1.082627090484702
9300,88,7.361884,1.0529176278392702
9450,92,7.52289,1.0200777111261121
9600,96,7.679435,0.9807816412999624
9750,100,7.822185,0.961659959781126
9900,104,8.022312,0.9390954723399368
10050,108,8.170593,0.8983903616700383
10200,112,8.327941,0.8827152025014169
10350,116,8.474835,0.8547579491568051
10500,120,8.648909,0.829115010091535
10650,124,8.802093,0.7886635689197855
10800,128,8.958138,0.7665313559715368
10950,132,9.109456,0.7578808610619238
11100,136,9.269617,0.719921890102678
11250,140,9.425231,0.6976176688803881
11400,144,9.58927,0.6778490717682121
11550,148,9.758005,0.6531506415033616
11700,152,9.961901,0.6304751627260694
11850,156,10.135958,0.5960472005726756
12000,160,10.315135,0.5858617182496659
12150,164,10.489716,0.5602613901788487
12300,168,10.664102,0.5503094552037916
12450,172,10.861689,0.5215814360947391
12600,176,11.038191,0.5161563220129652
12750,180,11.22184,0.49255109016099413
12900,184,11.402006,0.4817325718467086
13050,188,11.603819,0.4728297325919444
13200,192,11.796772,0.4592543978771576
13350,196,11.979319,0.4525919652478853
13500,200,12.170746,0.44148153250927086
13650,204,12.45888,0.4424079891964709
13800,208,12.664635,0.4387626856502084
13950,212,12.857163,0.43634556464596164
14100,216,13.065051,0.44512856901816616
14250,220,13.320099,0.4400365263589794
14400,224,13.525161,0.43723880822017264
14550,228,13.730915,0.4418519199574845
14700,232,13.948117,0.4357472647400098
14850,236,14.172186,0.44517525720786244
15000,240,14.378703,0.4412062462793061
15150,244,14.625811,0.4346111268387468
15300,248,14.838181,0.43757524520586016
15450,252,15.04019,0.4344380325758377
15600,256,15.26836,0.44109612164984946
15750,260,15.522052,0.43771947882251616
15900,264,15.749363,0.4397691163053652
16050,268,16.027111,0.4375489885204131
16200,272,16.244495,0.43687899046415973
16350,276,16.462155,0.43823445526021887
16500,280,16.708633,0.4431815006840725
16650,284,16.922994,0.44080766619521194
16800,288,17.164021,0.4334104417355949
16950,292,17.506285,0.4363369246363918
17100,296,17.784117,0.4337143575590515
17250,300,18.049757,0.43589585867704034
17400,304,18.412996,0.4333740016027202
17550,308,18.659553,0.4283906082534999
17700,312,18.941809,0.4311865841313803
17850,316,19.209189,0.4351926822776585
18000,320,19.451812,0.4397936973620112
18150,324,19.683168,0.43312935015974546
18300,328,19.929702,0.42871281642574216
18450,332,20.170346,0.4330610117369548
18600,336,20.41066,0.4318517021968492
18750,340,20.650572,0.4264817617307292
18900,344,20.89484,0.4279156791351845
19050,348,21.141809,0.43183896489426393
19200,352,21.380851,0.42742114464433933
19350,356,21.626697,0.43164704795493436
19500,360,21.872533,0.4300879479853839
19650,364,22.110626,0.42740876259800487
19800,368,22.35952,0.4278432506794761
19950,372,22.603078,0.42419104359143994
20100,376,22.858873,0.424167629341515
20250,380,23.117701,0.4246322773475938
20400,384,23.383302,0.4287126677313983
20550,388,23.652155,0.4272933632582345
20700,392,23.903445,0.4233537956940397
20850,396,24.158502,0.42534736438923204
21000,400,24.423286,0.4273732449216292
21150,404,24.69275,0.4253329122655626
21300,408,24.952463,0.42405420093081136
21450,412,25.213076,0.4246230108364828
21600,416,25.471625,0.4210167531927721
21750,420,25.739981,0.4225623288345732
21900,424,26.002127,0.42585825119348286
22050,428,26.265922,0.41788210425116196
22200,432,26.52313,0.4168775702129825
22350,436,26.786609,0.4188335447516166
22500,440,27.050667,0.41794828063291206
22650,444,27.317374,0.4196216875233221
22800,448,27.595219,0.4157594338464397
22950,452,27.867901,0.4217422351235093
23100,456,28.144785,0.41271887144441327
23250,460,28.41969,0.4184977491644825
23400,464,28.693246,0.4173964454248993
23550,468,28.966546,0.4172593301234176
23700,472,29.243962,0.41611382068667657
23850,476,29.524829,0.4159092575833042
24000,480,29.806788,0.41745172474030184
24150,484,30.095546,0.41786992165367776
24300,488,30.384665,0.41416327316239615
24450,492,30.673418,0.4210810804856253
24600,496,30.968482,0.4176307757087643
24750,500,31.264319,0.41651666092832923
24900,504,31.656338,0.41500880520501865
25050,508,31.955097,0.41630893529059704
25200,512,32.255575,0.4147486935842326
25350,516,32.560015,0.4161914197948983
25500,520,32.868532,0.41578047886209923
25650,524,33.218799,0.412901108146914
25800,528,33.527633,0.41623029045263726
25950,532,33.845046,0.41625743802371884
26100,536,34.154046,0.4163387365759725
26250,540,34.459363,0.4119539992710879
26400,544,34.771085,0.4120271775890227
26550,548,35.078358,0.41437036571268615
26700,552,35.392248,0.41335021626694646
26850,556,35.724574,0.41170997421366345
27000,560,36.045753,0.4086742879713813
27150,564,36.359561,0.4130852161358193
27300,568,36.690495,0.41288198984959595
27450,572,37.022706,0.41167530461825813
27600,576,37.358062,0.4084754869663453
27750,580,37.692657,0.411380110299765
27900,584,38.027457,0.41094745594228255
28050,588,38.362624,0.4134679623455341
28200,592,38.693874,0.41301142427264764
28350,596,39.015486,0.41236108810128447
28500,600,39.351942,0.41156991200436427
28650,604,39.68675,0.40775376123182666
28800,608,40.015784,0.40853518397148086
28950,612,40.352711,0.4108712407626929
29100,616,40.694738,0.4077180628810491
29250,620,41.032747,0.4095333885688256
29400,624,41.373125,0.4115197992183764
29550,628,41.720798,0.41246104152470714
29700,632,42.062577,0.40805509094749837
29850,636,42.406664,0.40979584407361275
30000,640,42.757103,0.4116718724857304
