size,epochs,time_taken,cost
20000,0,4.510974,0
20000,40,10.033712,1.3787221318325718
20045,44,10.294658,1.275278091823902
20090,48,10.552156,1.2359640743743783
20135,52,10.81061,1.2031422520409718
20180,56,11.06514,1.1706315245339916
20225,60,11.315329,1.158603227179544
20270,64,11.56432,1.1169205523565278
20315,68,11.813766,1.096966272974573
20360,72,12.052963,1.068339224594817
20405,76,12.297008,1.030928627786289
20450,80,12.539405,1.0042032199160411
20495,84,12.785969,0.9787447371400072
20540,88,13.02921,0.9591124626452262
20585,92,13.273192,0.9260403565077128
20630,96,13.519845,0.9044543968292204
20675,100,13.76486,0.8672047848324309
20720,104,14.631929,0.8462788530649714
20765,108,14.87419,0.8232425207968648
20810,112,15.115814,0.7945143022519072
20855,116,15.358458,0.7822889765472709
20900,120,15.593971,0.7499595970028429
20945,124,15.832893,0.7181692507909959
20990,128,16.076759,0.7060420740077041
21035,132,16.313523,0.6772008617491777
21080,136,16.55283,0.6582985976235374
21125,140,16.793041,0.6321937126626778
21170,144,17.026526,0.6073693222022161
21215,148,17.274235,0.594301475489045
21260,152,17.514322,0.5671884276581781
21305,156,17.761129,0.5498347600345256
21350,160,18.007454,0.5249216043578203
21395,164,18.256067,0.5113889425625143
21440,168,18.498812,0.48973865351900947
21485,172,18.740329,0.4797425481460187
21530,176,18.983259,0.4610487569447665
21575,180,19.221694,0.44499545045281574
21620,184,19.464782,0.4336403369263013
21665,188,19.704508,0.4258265152075415
21710,192,19.946788,0.4152191932788664
21755,196,20.182772,0.40817980067843096
21800,200,20.431773,0.3995506989176635
21845,204,21.299868,0.3940474406391437
21890,208,21.537128,0.3959812009832339
21935,212,21.776317,0.4022737599208604
21980,216,22.020091,0.39559296002988437
