size,epochs,time_taken,cost
70000,0,29.495119,0
70000,5,31.637783,2.6213019168738305
70000,10,32.569832,2.2079731386282657
70000,15,33.482204,1.9177473191106524
70000,20,34.407256,1.6939226056645442
70000,25,35.318079,1.547339349280625
70000,30,36.252438,1.4275728166436907
70000,35,37.178285,1.344943429971646
70000,40,38.071723,1.249613026476346
70000,45,38.947143,1.2003845434431408
70000,50,39.814495,1.1357081551905257
70000,55,40.701013,1.0892728361483213
70000,60,41.571502,1.0365733223446083
70000,65,42.448119,0.9973985910329092
70000,70,43.310446,0.9495766720319323
70000,75,44.178384,0.905624336614829
70000,80,45.060536,0.8675813076524896
70000,85,45.935807,0.8283480425626729
70000,90,46.827576,0.792223471316412
70000,95,47.723709,0.7446683192348487
70000,100,48.595438,0.7111633008920293
70000,105,51.273378,0.6769718660467648
70000,110,52.192674,0.6383675996417664
70000,115,53.111378,0.6042772893292212
70000,120,54.032295,0.5692989504828081
70000,125,54.978046,0.5397881163124867
70000,130,55.895462,0.5114328730802138
70000,135,56.795023,0.4747584137991941
70000,140,57.670684,0.4497337539785911
70000,145,58.542669,0.42241386380868884
70000,150,59.414217,0.4013055084019497
70000,155,60.287848,0.37634730210220524
70000,160,61.211356,0.3586917531767668
70000,165,62.130088,0.3353903686767929
70000,170,62.996179,0.3182422459422028
70000,175,63.878528,0.30386712591282206
70000,180,64.766245,0.2911678832384376
70000,185,65.661361,0.27732029776581874
70000,190,66.548078,0.268541614736649
70000,195,67.437232,0.260706908057996
70000,200,68.336396,0.25132263763979784
70000,205,70.96379,0.25035274733445895
